,EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
4420,1256982.0,Not Rated,Information Technology,1172613.0,Male,None,Active,IT Quality Assurance Administrator,IT QUALITY & ASSURANCE TESTING,India,29,0.6703049736157619,-9999.0,-9999.0
4421,1158864.0,On Track,Finance,1150569.0,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Malaysia,29,0.2402620289918289,-9999.0,-9999.0
4422,1258618.0,Not Rated,Client & Customer Services,1199131.0,Female,None,Active,Analyst II- Fiduciary,FIDUCIARY,Turkey,82,0.9826985897205314,-9999.0,-9999.0
4423,1173676.0,On Track,Human Resources,775781.0,Male,None,Active,HR Operations Coordinator,HR OPERATIONS,India,73,0.2272580815379457,-9999.0,-9999.0
4424,1158859.0,Stand Out,Finance,1155463.0,Female,None,Active,Accounting Supervisor,GENERAL ACCOUNTING,Malaysia,72,0.2164055873738307,-9999.0,-9999.0
4425,1173680.0,On Track,Finance,1241654.0,Female,None,Active,Analyst - Accounting Operations,ACCOUNTING OPERATIONS,India,65,0.4333685756748329,-9999.0,-9999.0
4426,1234713.0,On Track,Information Technology,1232760.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,67,0.3842393388424888,-9999.0,-9999.0
4427,1173609.0,On Track,Finance,1172662.0,Male,None,Active,Analyst - Accounting Operations,ACCOUNTING OPERATIONS,India,2,0.42026206803321,-9999.0,-9999.0
4428,1258146.0,Not Rated,Information Technology,1222260.0,Male,None,Active,Database Administration Specialist,DATABASE ADMINISTRATION,India,51,0.8043514655568046,-9999.0,-9999.0
4429,1255906.0,Not Rated,Finance,1151176.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,United States of America,4,0.7688591831829135,-9999.0,-9999.0
4430,1237588.0,On Track,Finance,1169532.0,None,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Poland,82,0.367031252186713,-9999.0,-9999.0
4431,1272608.0,Not Rated,Human Resources,1194610.0,Male,None,Active,HR Manager I,REGIONAL HR,Canada,55,0.6788545757366153,-9999.0,-9999.0
4432,1237585.0,Not Rated,Human Resources,1207049.0,Female,None,Active,Senior HR Business Partner,HR BUSINESS PARTNERS,Hong Kong,18,0.8555711681447091,-9999.0,-9999.0
4433,1257056.0,Not Rated,Finance,1178702.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,17,0.7298061245294022,-9999.0,-9999.0
4434,1258658.0,Not Rated,Information Technology,1219114.0,Male,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,87,0.661117965500888,-9999.0,-9999.0
4435,1157592.0,On Track,Finance,763611.0,Male,None,Active,Senior Finance Manager - FP&A,FINANCIAL PLANNING & ANALYSIS,United States of America,16,0.4581130260408834,-9999.0,-9999.0
4436,1275111.0,Not Rated,Finance,1178092.0,None,None,Active,Administrator - Accounting Operations,ACCOUNTING OPERATIONS,Malaysia,59,-9999.0,-9999.0,-9999.0
4437,1256999.0,Not Rated,Finance,1270919.0,Male,None,Active,Senior Analyst - Tax Operations,TAX OPERATIONS,Colombia,82,0.892693668646087,-9999.0,-9999.0
4438,1256988.0,Not Rated,Information Technology,1255476.0,Male,None,Active,Senior Analyst - IT Product Support,IT PRODUCT SUPPORT,India,89,0.6573979739626029,-9999.0,-9999.0
4439,1158872.0,On Track,Information Technology,1194591.0,Male,None,Active,Lead Specialist - IT Security,IT SECURITY ENGINEERING,United States of America,7,0.4908202126969769,-9999.0,-9999.0
4440,1255991.0,Not Rated,Information Technology,1218358.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,38,0.690871074214027,-9999.0,-9999.0
4441,1234696.0,On Track,Information Technology,1258670.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,70,0.3934291620307347,-9999.0,-9999.0
4442,862399.0,On Track,Information Technology,1233817.0,Female,None,Active,IT Product Support Senior Coordinator,IT PRODUCT SUPPORT,France,75,0.5204501846120029,-9999.0,-9999.0
4443,1258144.0,Not Rated,Information Technology,864404.0,Female,None,Active,Applications Development Administrator,APPLICATIONS DEVELOPMENT,India,36,0.7884225382231516,-9999.0,-9999.0
4444,1258188.0,Not Rated,Finance,1211426.0,Male,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,86,0.7136073118732305,-9999.0,-9999.0
4445,1256098.0,Not Rated,Information Technology,1166817.0,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United Kingdom,32,0.6863446909856626,-9999.0,-9999.0
4446,1256085.0,Not Rated,Information Technology,1163444.0,Male,None,Active,Supervisor - IT Business Analysis,BUSINESS ANALYSIS,India,47,0.6822818361395548,-9999.0,-9999.0
4447,1235012.0,On Track,Finance,1030168.0,Female,None,Active,Senior Analyst - FP&A,FINANCIAL PLANNING & ANALYSIS,Germany,88,0.3205504243583364,-9999.0,-9999.0
4448,829601.0,On Track,Information Technology,620916.0,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,14,0.5907869050555258,-9999.0,-9999.0
4449,1273058.0,Not Rated,Information Technology,611157.0,Male,None,Active,Senior Applications Developer,APPLICATIONS DEVELOPMENT,Ireland,58,0.732596684099166,-9999.0,-9999.0
4450,828900.0,On Track,Procurement,859482.0,Female,None,Active,Senior Analyst - Procurement Services,PROCUREMENT SERVICES,Mexico,81,0.4889515424428707,-9999.0,-9999.0
4451,1173758.0,On Track,Information Technology,1172887.0,Female,None,Active,Senior Analyst - IT Product Support,IT PRODUCT SUPPORT,India,97,0.412525861543461,-9999.0,-9999.0
4452,1256112.0,Not Rated,Finance,1213748.0,Female,None,Active,Specialist - FP&A,FINANCIAL PLANNING & ANALYSIS,India,20,0.705917124231539,-9999.0,-9999.0
